H(T.P.m),V(1000m3)
173.47,16226
173.48,16236
173.49,16246
173.5,16256
173.51,16266
173.52,16276
173.53,16286
173.54,16296
173.55,16306
173.56,16316
173.57,16326
173.58,16336
173.59,16346
173.6,16356
173.61,16366
173.62,16376
173.63,16386
173.64,16396
173.65,16406
173.66,16416
173.67,16426
173.68,16436
173.69,16446
173.7,16456
173.71,16466
173.72,16476
173.73,16486
173.74,16496
173.75,16506
173.76,16516
173.77,16526
173.78,16536
173.79,16546
173.8,16556
173.81,16566
173.82,16576
173.83,16586
173.84,16596
173.85,16606
173.86,16616
173.87,16626
173.88,16636
173.89,16646
173.9,16656
173.91,16666
173.92,16676
173.93,16686
173.94,16696
173.95,16706
173.96,16716
173.97,16726
173.98,16736
173.99,16746
174,16756
174.01,16766
174.02,16776
174.03,16786
174.04,16796
174.05,16806
174.06,16816
174.07,16826
174.08,16836
174.09,16846
174.1,16856
174.11,16866
174.12,16876
174.13,16886
174.14,16896
174.15,16906
174.16,16916
174.17,16926
174.18,16936
174.19,16946
174.2,16956
174.21,16966
174.22,16976
174.23,16986
174.24,16996
174.25,17006
174.26,17016
174.27,17026
174.28,17036
174.29,17046
174.3,17056
174.31,17066
174.32,17076
174.33,17086
174.34,17096
174.35,17106
174.36,17116
174.37,17126
174.38,17136
174.39,17146
174.4,17156
174.41,17166
174.42,17176
174.43,17186
174.44,17196
174.45,17206
174.46,17216
174.47,17226
174.48,17236
174.49,17246
174.5,17256
174.51,17266
174.52,17276
174.53,17286
174.54,17296
174.55,17306
174.56,17316
174.57,17326
174.58,17336
174.59,17346
174.6,17356
174.61,17366
174.62,17376
174.63,17386
174.64,17396
174.65,17406
174.66,17416
174.67,17426
174.68,17436
174.69,17446
174.7,17456
174.71,17466
174.72,17476
174.73,17486
174.74,17496
174.75,17506
174.76,17516
174.77,17526
174.78,17536
174.79,17546
174.8,17556
174.81,17566
174.82,17576
174.83,17586
174.84,17596
174.85,17606
174.86,17616
174.87,17626
174.88,17636
174.89,17646
174.9,17656
174.91,17666
174.92,17676
174.93,17686
174.94,17696
174.95,17706
174.96,17716
174.97,17726
174.98,17736
174.99,17746
175,17756
175.01,17766
175.02,17776
175.03,17786
175.04,17796
175.05,17806
175.06,17816
175.07,17826
175.08,17836
175.09,17846
175.1,17856
175.11,17866
175.12,17876
175.13,17886
175.14,17896
175.15,17906
175.16,17916
175.17,17926
175.18,17936
175.19,17946
175.2,17956
175.21,17966
175.22,17976
175.23,17986
175.24,17996
175.25,18006
175.26,18016
175.27,18026
175.28,18036
175.29,18046
175.3,18056
175.31,18066
175.32,18076
175.33,18086
175.34,18096
175.35,18106
175.36,18116
175.37,18126
175.38,18136
175.39,18146
175.4,18156
175.41,18166
175.42,18176
175.43,18186
175.44,18196
175.45,18206
175.46,18216
175.47,18226
175.48,18236
175.49,18246
175.5,18256
175.51,18266
175.52,18276
175.53,18286
175.54,18296
175.55,18306
175.56,18316
175.57,18326
175.58,18336
175.59,18346
175.6,18356
175.61,18366
175.62,18376
175.63,18386
175.64,18396
175.65,18406
175.66,18416
175.67,18426
175.68,18436
175.69,18446
175.7,18456
175.71,18466
175.72,18476
175.73,18486
175.74,18496
175.75,18506
175.76,18516
175.77,18526
175.78,18536
175.79,18546
175.8,18556
175.81,18566
175.82,18576
175.83,18586
175.84,18596
175.85,18606
175.86,18616
175.87,18626
175.88,18636
175.89,18646
175.9,18656
175.91,18666
175.92,18676
175.93,18686
175.94,18696
175.95,18706
175.96,18716
175.97,18726
175.98,18736
175.99,18746
176,18756
